sample,T,score,seq_recovery,pLDDT,type
T=0.7_35_original,0.7,1.0618,0.5169,84.66902488231338,original
T=0.7_36_original,0.7,1.1333,0.4928,82.26635003253091,original
T=0.7_37_original,0.7,1.2611,0.5121,82.55760634920635,original
T=0.7_38_original,0.7,1.0843,0.5604,82.65115055884286,original
T=0.7_39_original,0.7,1.1286,0.4589,81.42795793758481,original
T=0.7_40_original,0.7,1.1304,0.5072,78.27023762376238,original
T=0.7_41_original,0.7,1.2043,0.4686,83.61696498054475,original
T=0.7_42_original,0.7,1.1165,0.4976,85.68159045725646,original
T=0.7_43_original,0.7,1.1895,0.4976,77.6268286099865,original
T=0.7_44_original,0.7,1.0937,0.4348,85.69758300132801,original
T=0.7_45_original,0.7,1.0598,0.4686,84.71233631977947,original
T=0.7_46_original,0.7,1.2718,0.4928,84.61998040496408,original
T=0.7_47_original,0.7,1.1361,0.4638,85.11548748353096,original
T=0.7_48_original,0.7,1.139,0.5314,84.78075033200531,original
T=0.7_49_original,0.7,1.1331,0.5217,86.00666666666666,original
T=0.7_50_original,0.7,1.0927,0.4976,85.63593220338983,original
T=0.7_1_wm,0.7,1.1012,0.4783,83.89730590577305,wm
T=0.7_2_wm,0.7,1.2695,0.4348,75.97213765718067,wm
T=0.7_3_wm,0.7,1.0293,0.5024,84.93900604432504,wm
T=0.7_4_wm,0.7,1.2116,0.4831,82.82974017321786,wm
T=0.7_5_wm,0.7,1.0216,0.5749,82.85704081632653,wm
T=0.7_6_wm,0.7,1.0898,0.4976,83.18034436191762,wm
T=0.7_7_wm,0.7,1.1382,0.4879,81.40768543956044,wm
T=0.7_8_wm,0.7,1.1311,0.5024,83.8173907195696,wm
T=0.7_9_wm,0.7,1.0947,0.4928,84.17984353741497,wm
T=0.7_10_wm,0.7,1.3251,0.5024,76.9862742561449,wm
T=0.7_11_wm,0.7,1.0663,0.5314,85.86699213630406,wm
T=0.7_12_wm,0.7,1.2467,0.4589,84.30397295556986,wm
T=0.7_13_wm,0.7,1.0901,0.4976,84.84427027027026,wm
T=0.7_14_wm,0.7,1.2557,0.4734,81.29781501340483,wm
T=0.7_15_wm,0.7,1.1187,0.4976,79.54132720105125,wm
T=0.7_16_wm,0.7,1.2359,0.4589,81.75832786885245,wm
T=0.7_17_wm,0.7,1.1176,0.4928,83.05366509751175,wm
T=0.7_18_wm,0.7,1.3795,0.4444,78.92845496383957,wm
T=0.7_19_wm,0.7,1.1548,0.4734,84.63593108018556,wm
T=0.7_20_wm,0.7,1.1989,0.4928,81.91119947848762,wm
T=0.7_21_wm,0.7,0.9815,0.5217,85.34360688285904,wm
T=0.7_22_wm,0.7,1.1084,0.5024,83.22058976020739,wm
T=0.7_23_wm,0.7,1.1349,0.4783,84.256875,wm
T=0.7_24_wm,0.7,1.1064,0.5121,86.98298338870431,wm
T=0.7_25_wm,0.7,1.1262,0.5169,84.51081342801808,wm
T=0.7_26_wm,0.7,1.1025,0.5072,86.30583552631579,wm
T=0.7_27_wm,0.7,1.1663,0.4928,85.73771689497715,wm
T=0.7_28_wm,0.7,1.0553,0.5121,84.6539399869537,wm
T=0.7_29_wm,0.7,1.2205,0.4589,82.33296644295302,wm
T=0.7_30_wm,0.7,1.138,0.4638,83.8673907195696,wm
T=0.7_31_wm,0.7,1.2131,0.4686,81.25656188605107,wm
T=0.7_32_wm,0.7,1.0375,0.4976,83.98641560188298,wm
T=0.7_33_wm,0.7,1.1706,0.5024,82.4560131147541,wm
T=0.7_34_wm,0.7,1.1097,0.5362,83.17730947647449,wm
T=0.7_35_wm,0.7,0.992,0.5556,83.76306772908366,wm
T=0.7_36_wm,0.7,1.0349,0.5459,86.48514608233732,wm
T=0.7_37_wm,0.7,1.3936,0.5314,80.54852427184466,wm
T=0.7_38_wm,0.7,1.0598,0.5121,83.44431346282653,wm
T=0.7_39_wm,0.7,1.1807,0.4638,77.77467196819086,wm
T=0.7_40_wm,0.7,1.1385,0.5121,78.73620144832127,wm
T=0.7_41_wm,0.7,1.072,0.5121,86.34959196891192,wm
T=0.7_42_wm,0.7,1.0368,0.5072,85.4294215425532,wm
T=0.7_43_wm,0.7,1.1432,0.5121,85.16636242504997,wm
T=0.7_44_wm,0.7,1.1324,0.4493,83.4209966555184,wm
T=0.7_45_wm,0.7,1.1835,0.4928,80.87992829204694,wm
T=0.7_46_wm,0.7,1.1201,0.5362,85.85675657451112,wm
T=0.7_47_wm,0.7,1.0521,0.4734,83.80144459102901,wm
