sample,T,score,seq_recovery,pLDDT,type
T=0.3_40_wm,0.3,0.8314,0.4936,81.86553218342448,wm
T=0.3_41_wm,0.3,0.8328,0.4936,81.62158962560135,wm
T=0.3_42_wm,0.3,0.8278,0.492,83.65689511073967,wm
T=0.3_43_wm,0.3,0.8319,0.4984,82.38761735864803,wm
T=0.3_44_wm,0.3,0.8623,0.4647,82.32686663879598,wm
T=0.3_45_wm,0.3,0.8327,0.4824,80.56357292101964,wm
T=0.3_46_wm,0.3,0.8414,0.4744,80.97888865808059,wm
T=0.3_47_wm,0.3,0.8476,0.476,81.44154294032023,wm
T=0.3_48_wm,0.3,0.8525,0.4856,80.52417543859649,wm
T=0.3_49_wm,0.3,0.8146,0.4952,83.08893352965924,wm
T=0.3_50_wm,0.3,0.8312,0.4904,81.03486652542372,wm
T=0.1_1_original,0.1,0.7612,0.5032,81.65969678344601,original
T=0.1_2_original,0.1,0.7678,0.4904,81.69146967501553,original
T=0.1_3_original,0.1,0.7729,0.4856,81.84153402061855,original
T=0.1_4_original,0.1,0.7759,0.4824,83.32938581680034,original
T=0.1_5_original,0.1,0.7671,0.4936,82.88675215428806,original
T=0.1_6_original,0.1,0.7745,0.4904,82.3653947643979,original
T=0.1_7_original,0.1,0.7612,0.4904,81.99122302158273,original
T=0.1_8_original,0.1,0.7658,0.4952,82.75484306796925,original
T=0.1_9_original,0.1,0.7623,0.4936,83.21037099851601,original
T=0.1_10_original,0.1,0.7797,0.4856,82.22656682503614,original
T=0.1_11_original,0.1,0.7823,0.4824,82.52337643069097,original
T=0.1_12_original,0.1,0.7806,0.5,82.14173503557973,original
T=0.1_13_original,0.1,0.7696,0.4984,82.12616051165669,original
T=0.1_14_original,0.1,0.7707,0.5016,82.3219514203376,original
T=0.1_15_original,0.1,0.7705,0.4936,80.92717175887695,original
T=0.1_16_original,0.1,0.7673,0.4904,80.32782893390628,original
T=0.1_17_original,0.1,0.7658,0.4952,82.58200887198986,original
T=0.1_18_original,0.1,0.762,0.4888,81.34578742576285,original
